Tokens          Lexemes

type        int
main        main
(           (
)           )
{           {
comment     //Declarations

type        int
id          integer
;           ;
type        bool
id          boolN
;           ;
type        char
id          charChar
;           ;
type        float
id          floatY
;           ;
type        int
id          intR
;           ;
type        bool
id          boolTruth
;           ;
comment     //Initializations

id          integer
assignOp    =
intLiteral  200
;           ;
id          boolN
assignOp    =
boolLiteral false
;           ;
id          charChar
assignOp    =
charLiteral R
;           ;
id          floatY
assignOp    =
floatLiteral 12.12
;           ;
id          intR
assignOp    =
intLiteral  25
;           ;
id          boolTruth
assignOp    =
boolLiteral true
;           ;
while       while
(           (
id          floatY
relOp       <
id          integer
)           )
id          floatY
assignOp    =
id          floatY
addOp       +
id          intR
;           ;
print       print
id          floatY
;           ;
}           }
