Tokens          Lexemes

type        int
main        main
(           (
)           )
{           {
type        int
id          x
;           ;
type        bool
id          n
;           ;
type        float
id          yes
;           ;
type        int
id          r
;           ;
if          if
(           (
intLiteral  32
addOp       -
intLiteral  10
relOp       <
id          x
)           )
print       print
id          nter
;           ;
id          n
assignOp    =
intLiteral  12
;           ;
print       print
boolLiteral false
;           ;
if          if
(           (
id          n
equOp       ==
intLiteral  12
)           )
return      return
intLiteral  56
;           ;
else        else
print       print
intLiteral  1234
addOp       +
intLiteral  98
;           ;
id          n
assignOp    =
intLiteral  12
;           ;
return      return
intLiteral  56
;           ;
id          n
assignOp    =
intLiteral  12
;           ;
while       while
(           (
floatLiteral 23.23
relOp       <=
(           (
intLiteral  2
addOp       +
intLiteral  5
multOp      *
intLiteral  5
)           )
)           )
while       while
(           (
floatLiteral 23.23
relOp       <=
(           (
intLiteral  2
addOp       +
intLiteral  5
multOp      *
intLiteral  5
)           )
)           )
}           }
